complaint_id,date_received,product,issue,consumer_complaint_narrative,company,state,submitted_via,company_response_to_consumer,timely_response,consumer_disputed
3000085,2024-05-25,Mortgage,Struggling to pay mortgage,I am writing to file a complaint. My mortgage servicer misapplied my monthly payment and then charged me a late fee. Please investigate this matter.,Coastal Credit Union,IN,Fax,Closed with monetary relief,Yes,Yes
3000086,2024-01-28,Checking or savings account,Problem caused by your funds being low,This has been an ongoing problem. My account was overdrawn due to a hold the bank placed without telling me in advance. Please investigate this matter.,Redwood Lending Group,WI,Email,Closed with non-monetary relief,Yes,No
3000087,2025-04-20,"Money transfer, virtual currency, or money service",Fraud or scam,I would like to report the following issue. Someone used my account to send a fraudulent money transfer and the company will not refund me. This has caused significant stress.,Acme Financial Services,MI,Fax,Closed with monetary relief,Yes,Yes
3000088,2023-12-20,"Money transfer, virtual currency, or money service",Problem with a lender or other company charging your account,A company charged my account for a transfer I never initiated or approved.,Harbor Trust Bank,MO,Email,Closed without relief,Yes,No
3000089,2023-08-28,Checking or savings account,Problem caused by your funds being low,My account was overdrawn due to a hold the bank placed without telling me in advance.,Pinnacle Servicing LLC,TX,Phone,Closed without relief,No,Yes
3000090,2023-05-10,Student loan,Struggling to repay your loan,This has been an ongoing problem. I applied for an income-driven repayment plan and my servicer never processed it correctly. I would appreciate a prompt resolution.,Cedarbrook Bank,MD,Phone,Closed with explanation,Yes,Yes
3000091,2025-06-10,"Money transfer, virtual currency, or money service",Problem with a lender or other company charging your account,"To whom it may concern, Someone used my account to send a fraudulent money transfer and the company will not refund me.",Summit Card Services,FL,Postal mail,Closed with monetary relief,No,No
3000092,2023-11-21,Credit card or prepaid card,Getting a credit card,My credit card application was denied for reasons that were never clearly explained to me.,Union Point Financial,MO,Web,In progress,Yes,No
3000093,2024-03-20,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,"To whom it may concern, My credit report shows a late payment that was never late, I have proof of on time payment. I would appreciate a prompt resolution.",Northgate Bank,NY,Postal mail,Closed with non-monetary relief,Yes,No
3000094,2023-10-28,Student loan,Struggling to repay your loan,I would like to report the following issue. I applied for an income-driven repayment plan and my servicer never processed it correctly. I would appreciate a prompt resolution.,Harbor Trust Bank,VA,Postal mail,Closed with non-monetary relief,Yes,No
3000095,2023-03-22,Debt collection,Communication tactics,"To whom it may concern, I am receiving multiple collection calls per day, well beyond what is allowed under regulation. Please investigate this matter.",Vantage Capital Partners,WA,Email,Closed with non-monetary relief,Yes,No
3000096,2024-11-13,Checking or savings account,Opening an account,This has been an ongoing problem. My account was overdrawn due to a hold the bank placed without telling me in advance. This has caused significant stress.,Acme Financial Services,MA,Phone,In progress,Yes,No
3000097,2024-10-16,Debt collection,Attempts to collect debt not owed,"This collector is trying to collect a debt that is not mine, likely a case of mistaken identity. This has caused significant stress.",Pinnacle Servicing LLC,NC,Postal mail,Closed with monetary relief,Yes,No
3000098,2024-08-08,Debt collection,Communication tactics,"To whom it may concern, I am receiving multiple collection calls per day, well beyond what is allowed under regulation.",Harbor Trust Bank,MD,Phone,Closed with monetary relief,Yes,No
3000099,2024-09-12,"Credit reporting, credit repair services, or other personal consumer reports",Problem with a credit reporting company's investigation,I filed a dispute over 30 days ago and the credit bureau has not corrected or responded to my investigation. I would appreciate a prompt resolution.,Union Point Financial,MI,Referral,In progress,Yes,No
3000100,2024-11-25,"Money transfer, virtual currency, or money service",Problem with a lender or other company charging your account,A company charged my account for a transfer I never initiated or approved. This has caused significant stress.,Summit Card Services,NY,Fax,Closed with explanation,Yes,Yes
3000101,2023-12-01,Credit card or prepaid card,Getting a credit card,I am writing to file a complaint. I was charged an overdraft and interest fee that was never disclosed to me when I opened the account. This has caused significant stress.,Pinnacle Servicing LLC,PA,Referral,Closed with non-monetary relief,Yes,No
3000102,2025-04-24,"Money transfer, virtual currency, or money service",Problem with a lender or other company charging your account,"To whom it may concern, A company charged my account for a transfer I never initiated or approved. This has caused significant stress.",Union Point Financial,MI,Fax,Closed with monetary relief,Yes,Yes
3000103,2025-05-30,"Money transfer, virtual currency, or money service",Fraud or scam,"To whom it may concern, Someone used my account to send a fraudulent money transfer and the company will not refund me. Please investigate this matter.",Pinnacle Servicing LLC,MO,Phone,Closed with explanation,Yes,No
3000104,2024-08-21,"Money transfer, virtual currency, or money service",Problem with a lender or other company charging your account,I would like to report the following issue. Someone used my account to send a fraudulent money transfer and the company will not refund me. This has caused significant stress.,Pinnacle Servicing LLC,VA,Web,Closed with non-monetary relief,Yes,Yes
3000105,2024-10-25,Checking or savings account,Managing an account,I was unable to access my own checking account funds for over a week with no explanation. Please investigate this matter.,Northgate Bank,MA,Fax,Closed with monetary relief,Yes,No
3000106,2023-04-29,Student loan,Struggling to repay your loan,I would like to report the following issue. My student loan servicer will not respond to my repeated requests about my repayment plan.,Northgate Bank,GA,Email,Closed with non-monetary relief,Yes,No
3000107,2024-02-29,Checking or savings account,Problem caused by your funds being low,My account was overdrawn due to a hold the bank placed without telling me in advance. Please investigate this matter.,Northgate Bank,TN,Email,Closed without relief,Yes,No
3000108,2023-08-30,Credit card or prepaid card,Problem with a purchase shown on your statement,This has been an ongoing problem. There is a charge on my card statement for a purchase I never made or authorized.,Harbor Trust Bank,NY,Fax,Closed with monetary relief,Yes,No
3000109,2023-05-06,Mortgage,Applying for a mortgage,I would like to report the following issue. My mortgage application has been delayed for months with no clear update from the lender. Please investigate this matter.,Union Point Financial,FL,Fax,Closed with non-monetary relief,Yes,No
3000110,2023-03-12,Student loan,Dealing with your lender or servicer,"To whom it may concern, I applied for an income-driven repayment plan and my servicer never processed it correctly. Please investigate this matter.",Cedarbrook Bank,OH,Email,Closed with non-monetary relief,Yes,No
3000111,2023-10-11,"Money transfer, virtual currency, or money service",Fraud or scam,Someone used my account to send a fraudulent money transfer and the company will not refund me. I would appreciate a prompt resolution.,Summit Card Services,IL,Email,Closed with monetary relief,Yes,No
3000112,2025-03-19,"Money transfer, virtual currency, or money service",Fraud or scam,I am writing to file a complaint. A company charged my account for a transfer I never initiated or approved. This has caused significant stress.,Redwood Lending Group,MD,Phone,Closed with explanation,Yes,No
3000113,2025-02-02,Debt collection,False statements or representation,"I am receiving multiple collection calls per day, well beyond what is allowed under regulation. I would appreciate a prompt resolution.",Northgate Bank,TN,Postal mail,Closed with monetary relief,No,No
3000114,2024-04-14,Mortgage,Applying for a mortgage,My mortgage servicer misapplied my monthly payment and then charged me a late fee. This has caused significant stress.,Acme Financial Services,TX,Postal mail,Closed without relief,Yes,No
3000115,2024-09-14,Checking or savings account,Opening an account,I am writing to file a complaint. My account was overdrawn due to a hold the bank placed without telling me in advance. This has caused significant stress.,Summit Card Services,FL,Referral,Closed with monetary relief,Yes,No
3000116,2024-04-09,Mortgage,Applying for a mortgage,This has been an ongoing problem. My mortgage application has been delayed for months with no clear update from the lender. This has caused significant stress.,Cedarbrook Bank,WI,Postal mail,Closed with explanation,Yes,No
3000117,2023-08-22,"Money transfer, virtual currency, or money service",Fraud or scam,This has been an ongoing problem. Someone used my account to send a fraudulent money transfer and the company will not refund me.,Pinnacle Servicing LLC,NJ,Postal mail,Closed without relief,Yes,No
3000118,2023-06-06,Checking or savings account,Opening an account,I would like to report the following issue. My account was overdrawn due to a hold the bank placed without telling me in advance. This has caused significant stress.,Union Point Financial,FL,Web,Closed with explanation,Yes,Yes
3000119,2024-08-23,"Credit reporting, credit repair services, or other personal consumer reports",Improper use of your report,I filed a dispute over 30 days ago and the credit bureau has not corrected or responded to my investigation. I would appreciate a prompt resolution.,Cedarbrook Bank,MO,Phone,Closed with explanation,Yes,Yes
3000120,2024-09-06,Checking or savings account,Problem caused by your funds being low,I am writing to file a complaint. My account was overdrawn due to a hold the bank placed without telling me in advance. This has caused significant stress.,Coastal Credit Union,VA,Web,In progress,No,No
3000121,2025-05-15,Mortgage,Trouble during payment process,I am writing to file a complaint. My mortgage application has been delayed for months with no clear update from the lender. This has caused significant stress.,Cedarbrook Bank,VA,Web,Closed with monetary relief,Yes,No
3000122,2023-01-30,Mortgage,Trouble during payment process,My mortgage servicer misapplied my monthly payment and then charged me a late fee. This has caused significant stress.,Summit Card Services,NC,Fax,Closed with monetary relief,Yes,No
3000123,2025-01-28,Credit card or prepaid card,Closing your account,I am writing to file a complaint. There is a charge on my card statement for a purchase I never made or authorized. Please investigate this matter.,Acme Financial Services,FL,Fax,In progress,Yes,No
3000124,2023-11-16,Debt collection,Communication tactics,"To whom it may concern, I am receiving multiple collection calls per day, well beyond what is allowed under regulation. This has caused significant stress.",Harbor Trust Bank,MD,Email,Closed with explanation,No,No
3000125,2024-11-08,"Credit reporting, credit repair services, or other personal consumer reports",Incorrect information on your report,I would like to report the following issue. A company pulled my credit report without my permission for a purpose I never authorized.,Pinnacle Servicing LLC,TN,Email,Closed without relief,Yes,No
3000126,2023-04-24,Checking or savings account,Problem caused by your funds being low,I would like to report the following issue. My account was overdrawn due to a hold the bank placed without telling me in advance.,Coastal Credit Union,MD,Postal mail,In progress,Yes,No
3000127,2023-11-05,Student loan,Struggling to repay your loan,I am writing to file a complaint. My student loan servicer will not respond to my repeated requests about my repayment plan. Please investigate this matter.,Redwood Lending Group,IL,Phone,Closed with monetary relief,Yes,No
3000128,2024-01-25,Credit card or prepaid card,Problem with a purchase shown on your statement,"To whom it may concern, My credit card application was denied for reasons that were never clearly explained to me. Please investigate this matter.",Cedarbrook Bank,GA,Email,In progress,No,No
3000129,2023-03-21,"Money transfer, virtual currency, or money service",Problem with a lender or other company charging your account,I am writing to file a complaint. Someone used my account to send a fraudulent money transfer and the company will not refund me.,Harbor Trust Bank,MD,Postal mail,In progress,Yes,Yes
3000130,2023-01-22,Checking or savings account,Opening an account,I am writing to file a complaint. I was denied the ability to open a basic checking account without a clear reason given.,Harbor Trust Bank,PA,Email,Closed without relief,Yes,No
3000131,2024-06-20,"Money transfer, virtual currency, or money service",Problem with a lender or other company charging your account,This has been an ongoing problem. Someone used my account to send a fraudulent money transfer and the company will not refund me.,Northgate Bank,WA,Phone,Closed with monetary relief,Yes,No
3000132,2024-06-27,Debt collection,False statements or representation,The collection agency threatened legal action that they have no authority to actually pursue. I would appreciate a prompt resolution.,Cedarbrook Bank,OH,Phone,Closed with monetary relief,Yes,No
